,compound,create_date,negative,neutral,news_media,positive,tweets_ago
75,0.3802,2018-03-14 21:32:37+00:00,0.107,0.67,fox,0.223,-75
76,-0.296,2018-03-14 09:43:21+00:00,0.104,0.896,fox,0.0,-76
77,0.4215,2018-03-14 00:14:03+00:00,0.0,0.896,fox,0.104,-77
78,-0.2263,2018-03-13 21:56:19+00:00,0.113,0.821,fox,0.067,-78
79,-0.4404,2018-03-13 21:53:43+00:00,0.492,0.508,fox,0.0,-79
80,0.5509,2018-03-13 21:47:56+00:00,0.152,0.581,fox,0.266,-80
81,0.0,2018-03-13 21:40:02+00:00,0.0,1.0,fox,0.0,-81
82,0.0,2018-03-13 21:38:42+00:00,0.0,1.0,fox,0.0,-82
83,0.0,2018-03-13 11:32:51+00:00,0.0,1.0,fox,0.0,-83
84,0.0,2018-03-13 08:57:37+00:00,0.0,1.0,fox,0.0,-84
85,0.8271,2018-03-13 08:39:15+00:00,0.089,0.543,fox,0.367,-85
86,0.4939,2018-03-13 07:56:31+00:00,0.0,0.61,fox,0.39,-86
87,-0.7906,2018-03-13 05:51:06+00:00,0.438,0.562,fox,0.0,-87
88,0.0,2018-03-13 05:31:56+00:00,0.0,1.0,fox,0.0,-88
89,0.0,2018-03-13 05:27:16+00:00,0.0,1.0,fox,0.0,-89
90,0.7003,2018-03-13 04:05:17+00:00,0.078,0.674,fox,0.248,-90
91,0.5106,2018-03-13 02:01:01+00:00,0.17,0.567,fox,0.263,-91
92,-0.1027,2018-03-13 01:55:02+00:00,0.072,0.928,fox,0.0,-92
93,0.4019,2018-03-13 00:14:42+00:00,0.0,0.87,fox,0.13,-93
94,-0.34,2018-03-12 08:45:39+00:00,0.2,0.688,fox,0.113,-94
95,0.0,2018-03-12 06:59:39+00:00,0.0,1.0,fox,0.0,-95
96,0.4939,2018-03-12 05:17:18+00:00,0.0,0.868,fox,0.132,-96
97,0.5574,2018-03-12 05:01:46+00:00,0.0,0.635,fox,0.365,-97
98,0.0772,2018-03-11 23:45:08+00:00,0.0,0.936,fox,0.064,-98
99,-0.296,2018-03-11 23:10:30+00:00,0.136,0.864,fox,0.0,-99
0,0.4019,2018-03-24 01:41:30+00:00,0.0,0.881,fox,0.119,0
1,0.4404,2018-03-23 23:03:43+00:00,0.0,0.854,fox,0.146,-1
2,0.7213,2018-03-23 23:03:00+00:00,0.0,0.373,fox,0.627,-2
3,0.7959,2018-03-23 22:54:03+00:00,0.0,0.497,fox,0.503,-3
4,0.4588,2018-03-23 22:32:15+00:00,0.0,0.769,fox,0.231,-4
5,0.0,2018-03-23 22:17:43+00:00,0.0,1.0,fox,0.0,-5
6,0.3174,2018-03-23 22:09:16+00:00,0.0,0.85,fox,0.15,-6
7,-0.2023,2018-03-23 22:08:00+00:00,0.163,0.741,fox,0.096,-7
8,0.6369,2018-03-23 22:05:46+00:00,0.0,0.846,fox,0.154,-8
9,-0.5009,2018-03-23 22:04:12+00:00,0.175,0.825,fox,0.0,-9
10,-0.2732,2018-03-23 22:02:44+00:00,0.099,0.852,fox,0.049,-10
11,0.802,2018-03-23 10:19:46+00:00,0.0,0.549,fox,0.451,-11
12,0.3612,2018-03-23 10:08:18+00:00,0.0,0.894,fox,0.106,-12
13,0.926,2018-03-23 10:08:07+00:00,0.0,0.571,fox,0.429,-13
14,0.0,2018-03-23 08:32:21+00:00,0.0,1.0,fox,0.0,-14
15,0.0,2018-03-23 08:30:43+00:00,0.0,1.0,fox,0.0,-15
16,0.0,2018-03-23 03:38:24+00:00,0.0,1.0,fox,0.0,-16
